Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Other,Leongatha,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Clonbinane,B Property and deception offences,B20 Property damage,5
Other,Yarram,D Public order and security offences,D10 Weapons and explosives offences,5
,Plenty,A Crimes against the person,Other crimes against the person,5
Other,Leopold,B Property and deception offences,B10 Arson,5
Metro Inner West,Kealba,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer West,Brookfield,E Justice procedures offences,E10 Justice procedures,5
Metro Inner West,Kings Park,D Public order and security offences,D10 Weapons and explosives offences,5
,Nyah West,A Crimes against the person,A20 Assault and related offences,5
Metro Outer North,Hurstbridge,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Outer South,Capel Sound,C Drug offences,C30 Drug use and possession,5
,Strath Creek,B Property and deception offences,B40 Theft,5
Other,Portarlington,A Crimes against the person,Other crimes against the person,5
Other,Ballarat East,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Shepparton East,A Crimes against the person,A20 Assault and related offences,5
Metro Inner North,Coburg North,A Crimes against the person,A50 Robbery,5
Metro Inner West,Albanvale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,Delacombe,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Maryknoll,E Justice procedures offences,E20 Breaches of orders,5
Other,Lake Gardens,B Property and deception offences,B30 Burglary/Break and enter,5
Other,Wandong,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Clunes,B Property and deception offences,B20 Property damage,5
Metro Inner West,Braybrook,D Public order and security offences,D20 Disorderly and offensive conduct,5
Other,Whittington,C Drug offences,C30 Drug use and possession,5
Metro Outer East,Belgrave,B Property and deception offences,B50 Deception,5
Metro Outer West,Williams Landing,C Drug offences,C30 Drug use and possession,5
Metro Outer South,Officer,D Public order and security offences,D20 Disorderly and offensive conduct,5
Other,Cobblebank,B Property and deception offences,B50 Deception,5
Other,North Bendigo,C Drug offences,C30 Drug use and possession,5
Metro Outer South,Officer,C Drug offences,C10 Drug dealing and trafficking,5
Metro Outer South,Clayton South,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Junortoun,B Property and deception offences,B50 Deception,5
Metro Outer North,Lalor,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Outer West,Burnside,E Justice procedures offences,E10 Justice procedures,5
,Binginwarri,E Justice procedures offences,E20 Breaches of orders,5
,Long Forest,B Property and deception offences,B40 Theft,5
Metro Outer East,Montrose,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Dennington,B Property and deception offences,B20 Property damage,5
Metro Inner North,Heidelberg,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,Tatura,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,North Geelong,B Property and deception offences,B10 Arson,5
Other,Yarragon,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Bayles,B Property and deception offences,B40 Theft,5
,Poowong,B Property and deception offences,B40 Theft,5
,Research,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner East,Mount Waverley,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer South,Parkdale,E Justice procedures offences,E10 Justice procedures,5
,Woorinen,A Crimes against the person,A20 Assault and related offences,5
,Waaia,B Property and deception offences,B40 Theft,5
,Lindenow South,A Crimes against the person,A20 Assault and related offences,5
Other,Inverloch,E Justice procedures offences,E10 Justice procedures,5
Metro Inner North,Brunswick East,C Drug offences,C30 Drug use and possession,5
Other,Bairnsdale,C Drug offences,C20 Cultivate or manufacture drugs,5
Metro Inner East,Ashburton,A Crimes against the person,Other crimes against the person,5
,Anakie,B Property and deception offences,B30 Burglary/Break and enter,5
Other,Curlewis,D Public order and security offences,D10 Weapons and explosives offences,5
,Leneva,B Property and deception offences,B50 Deception,5
Metro Inner West,Albanvale,B Property and deception offences,B50 Deception,5
Metro Inner North,Heidelberg Heights,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Grahamvale,B Property and deception offences,B40 Theft,5
Other,Curlewis,E Justice procedures offences,E10 Justice procedures,5
Other,Yarrawonga,C Drug offences,C10 Drug dealing and trafficking,5
Metro Outer South,Beaconsfield,D Public order and security offences,D10 Weapons and explosives offences,5
,Dennington,A Crimes against the person,Other crimes against the person,5
Metro Outer East,Yarra Glen,C Drug offences,C30 Drug use and possession,5
Other,Cobblebank,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Metro Outer South,Hastings,B Property and deception offences,B10 Arson,5
,Mount Taylor,A Crimes against the person,Other crimes against the person,5
Other,Beveridge,C Drug offences,C30 Drug use and possession,5
,Cann River,A Crimes against the person,A20 Assault and related offences,5
,Inglewood,A Crimes against the person,Other crimes against the person,5
Other,Ballarat North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Waaia,B Property and deception offences,B20 Property damage,5
Other,Rochester,A Crimes against the person,Other crimes against the person,5
,Chewton,B Property and deception offences,B40 Theft,5
,Strathmore Heights,B Property and deception offences,B20 Property damage,5
Metro Outer North,North Warrandyte,A Crimes against the person,A20 Assault and related offences,5
Other,Lake Gardens,A Crimes against the person,A20 Assault and related offences,5
Metro Outer East,Healesville,C Drug offences,C30 Drug use and possession,5
Metro Inner East,Bayswater,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Inner West,Travancore,B Property and deception offences,B50 Deception,5
,Murtoa,A Crimes against the person,A20 Assault and related offences,5
Metro Inner East,Armadale,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer South,Gembrook,A Crimes against the person,Other crimes against the person,5
Other,Maddingley,C Drug offences,C30 Drug use and possession,5
,Lucknow,B Property and deception offences,B50 Deception,5
Metro Outer North,Greenvale,C Drug offences,C10 Drug dealing and trafficking,5
Other,Alfredton,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Inner West,Yarraville,E Justice procedures offences,E10 Justice procedures,5
Metro Inner North,Glenroy,C Drug offences,C10 Drug dealing and trafficking,5
Metro Outer West,Hillside,C Drug offences,C10 Drug dealing and trafficking,5
Metro Inner East,Nunawading,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Outer East,Healesville,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Other,Moe,C Drug offences,C20 Cultivate or manufacture drugs,5
,Gowanbrae,A Crimes against the person,A20 Assault and related offences,5
,Rushworth,A Crimes against the person,A20 Assault and related offences,5
Metro Outer South,Narre Warren,D Public order and security offences,D30 Public nuisance offences,5
Other,Alfredton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Colac West,B Property and deception offences,B40 Theft,5
,Breamlea,B Property and deception offences,B40 Theft,5
Metro Outer South,Hallam,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer North,Eltham North,A Crimes against the person,A20 Assault and related offences,5
Metro Outer East,Montrose,C Drug offences,C30 Drug use and possession,5
Other,Mildura,F Other offences,F90 Miscellaneous offences,5
Metro Outer West,Taylors Hill,A Crimes against the person,A50 Robbery,5
,Poowong,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner,East Melbourne CBD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Outer North,Coolaroo,B Property and deception offences,B10 Arson,5
Metro Inner East,Mount Waverley,C Drug offences,C10 Drug dealing and trafficking,5
Metro Inner North,Oak Park,A Crimes against the person,Other crimes against the person,5
,Rupanyup,B Property and deception offences,B30 Burglary/Break and enter,5
,Metung,B Property and deception offences,B20 Property damage,5
Metro Inner West,Strathmore,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,Mallacoota,E Justice procedures offences,E20 Breaches of orders,5
,Shepparton North,C Drug offences,C30 Drug use and possession,4
,Ouyen,E Justice procedures offences,E10 Justice procedures,4
,Golden Gully,B Property and deception offences,B30 Burglary/Break and enter,4
,Wonga Park,E Justice procedures offences,E20 Breaches of orders,4
Metro Inner West,Altona North,D Public order and security offences,D30 Public nuisance offences,4
Other,Yarragon,B Property and deception offences,B50 Deception,4
,Dereel,E Justice procedures offences,E20 Breaches of orders,4
,Dimboola,B Property and deception offences,B30 Burglary/Break and enter,4
Other,Geelong West,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
Metro Inner East,Box Hill North,B Property and deception offences,B10 Arson,4
Other,Kyabram,B Property and deception offences,B10 Arson,4
,Lucknow,B Property and deception offences,B20 Property damage,4
,Bunyip,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
Metro Outer West,Kurunjang,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
,Wandin North,B Property and deception offences,B50 Deception,4
,Toolern Vale,A Crimes against the person,A20 Assault and related offences,4
Metro Inner East,Burwood,B Property and deception offences,B10 Arson,4
,South Dudley,B Property and deception offences,B30 Burglary/Break and enter,4
Metro Inner East,Hawthorn East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
Metro Inner West,Kings Park,C Drug offences,C30 Drug use and possession,4
Other,Apollo Bay,D Public order and security offences,D20 Disorderly and offensive conduct,4
,Goornong,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
Metro Outer South,Rosebud,A Crimes against the person,A50 Robbery,4
Metro Inner South,Caulfield North,C Drug offences,C30 Drug use and possession,4
,Haven,B Property and deception offences,B40 Theft,4
Other,Avoca,B Property and deception offences,B20 Property damage,4
Metro Outer South,Lyndhurst,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4
,Tarwin Lower,B Property and deception offences,B20 Property damage,4
Metro Outer East,Millgrove,B Property and deception offences,B20 Property damage,4
Metro Inner West,Newport,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
Metro Inner East,Warranwood,B Property and deception offences,B30 Burglary/Break and enter,4
Metro Outer South,Pearcedale,D Public order and security offences,D10 Weapons and explosives offences,4
,Korong Vale,A Crimes against the person,A20 Assault and related offences,4
